date,CHF,EUR,GBP,USD
2020-10-05,4.1737,4.4944,4.9541,3.8252
2020-10-06,4.1729,4.4961,4.9598,3.818
2020-10-07,4.1555,4.4832,4.9204,3.8126
2020-10-08,4.1603,4.49,4.946,3.8175
2020-10-09,4.1536,4.4745,4.9089,3.7913
2020-10-12,4.164,4.4798,4.9364,3.7927
2020-10-13,4.1664,4.4737,4.9554,3.7932
2020-10-14,4.1883,4.4963,4.9429,3.8301
2020-10-15,4.25,4.5545,5.037,3.8904
2020-10-16,4.2571,4.5621,5.0407,3.8976
2020-10-19,4.2448,4.5498,5.0374,3.8761
2020-10-20,4.281,4.5865,5.0451,3.8926
2020-10-21,4.2802,4.5869,5.0472,3.8706
2020-10-22,4.2714,4.5877,5.0766,3.8734
2020-10-23,4.2732,4.5772,5.0608,3.8665
2020-10-26,4.2734,4.5774,5.0579,3.8759
2020-10-27,4.2742,4.589,5.0607,3.886
2020-10-28,4.3113,4.6189,5.0998,3.9313
2020-10-29,4.3329,4.633,5.1404,3.9505
2020-10-30,4.3197,4.6188,5.1269,3.9563
2020-11-02,4.3124,4.6048,5.1076,3.9557
2020-11-03,4.2675,4.5699,5.076,3.9069
2020-11-04,4.2595,4.5532,5.0585,3.8996
2020-11-05,4.2248,4.5233,5.0042,3.8353
2020-11-06,4.2368,4.5277,5.0196,3.8194
2020-11-09,4.1976,4.487,4.9602,3.7787
2020-11-10,4.1669,4.5063,5.0567,3.8168
2020-11-12,4.1573,4.4868,5.0087,3.7995
2020-11-13,4.1605,4.496,5.0072,3.8015
2020-11-16,4.1463,4.4753,4.9761,3.7782
2020-11-17,4.1594,4.4953,5.0092,3.7877
2020-11-18,4.1356,4.4729,5.0013,3.7621
2020-11-19,4.1448,4.4799,5.0027,3.7872
2020-11-20,4.1356,4.4679,5.0016,3.7677
2020-11-23,4.1307,4.468,5.0273,3.7616
2020-11-24,4.1297,4.4714,5.0283,3.7625
2020-11-25,4.1171,4.471,5.0101,3.7556
2020-11-26,4.1353,4.4742,5.0221,3.7586
2020-11-27,4.1477,4.4843,5.0239,3.7614
2020-11-30,4.1364,4.4779,4.9793,3.7364
2020-12-01,4.1226,4.4769,4.9904,3.7367
2020-12-02,4.1112,4.4642,4.9426,3.7038
2020-12-03,4.1362,4.4789,4.9562,3.6981
2020-12-04,4.1241,4.4732,4.9565,3.6765
2020-12-07,4.1417,4.4745,4.9089,3.7001
2020-12-08,4.1503,4.4767,4.927,3.6914
2020-12-09,4.1273,4.4449,4.9289,3.6657
2020-12-10,4.1139,4.4276,4.8708,3.6574
2020-12-11,4.1286,4.4385,4.8418,3.663
2020-12-14,4.1273,4.4432,4.9004,3.6548
2020-12-15,4.1254,4.4441,4.8684,3.6554
2020-12-16,4.1144,4.4347,4.9108,3.6334
2020-12-17,4.1084,4.4348,4.9251,3.6254
2020-12-18,4.1043,4.4493,4.9012,3.6322
2020-12-21,4.1729,4.5149,4.9024,3.7082
2020-12-22,4.1625,4.5069,4.9515,3.6921
2020-12-23,4.1517,4.5019,4.9542,3.6919
2020-12-24,4.1604,4.5084,5.0286,3.6981
2020-12-28,4.1223,4.4879,4.9656,3.6639
2020-12-29,4.1531,4.5051,4.955,3.6778
2020-12-30,4.1708,4.5272,5.0102,3.6901
2020-12-31,4.2641,4.6148,5.1327,3.7584
2021-01-04,4.2055,4.5485,5.0589,3.6998
2021-01-05,4.2078,4.5446,5.0261,3.7031
2021-01-07,4.1505,4.4973,4.9832,3.6656
2021-01-08,4.1674,4.5189,5.0216,3.6919
2021-01-11,4.1896,4.5325,5.0288,3.7271
2021-01-12,4.1787,4.5228,5.0588,3.7188
2021-01-13,4.1855,4.5272,5.0845,3.7142
2021-01-14,4.2065,4.5407,5.0953,3.7323
2021-01-15,4.2219,4.548,5.1104,3.7466
2021-01-18,4.2291,4.5473,5.1002,3.7699
2021-01-19,4.213,4.5342,5.0897,3.7416
2021-01-20,4.1974,4.5237,5.1069,3.7303
2021-01-21,4.2053,4.531,5.1244,3.7312
2021-01-22,4.2102,4.5354,5.092,3.7255
2021-01-25,4.216,4.5436,5.1141,3.7402
2021-01-26,4.2183,4.5497,5.1235,3.7512
2021-01-27,4.2215,4.5468,5.1516,3.7507
2021-01-28,4.2218,4.5479,5.127,3.7566
2021-01-29,4.2115,4.5385,5.119,3.746
2021-02-01,4.171,4.5137,5.124,3.7323
2021-02-02,4.1634,4.5025,5.1069,3.7311
2021-02-03,4.1555,4.4906,5.0937,3.7352
2021-02-04,4.1572,4.4958,5.0955,3.7509
2021-02-05,4.159,4.4978,5.1412,3.7554
2021-02-08,4.1396,4.4867,5.113,3.7301
2021-02-09,4.1378,4.4773,5.0954,3.6972
2021-02-10,4.1469,4.4809,5.1152,3.6973
2021-02-11,4.1698,4.5023,5.1346,3.7117
2021-02-12,4.1676,4.5029,5.1274,3.7186
2021-02-15,4.1486,4.4836,5.1353,3.6949
2021-02-16,4.1568,4.4891,5.1451,3.694
2021-02-17,4.1667,4.4998,5.1769,3.7287
2021-02-18,4.1436,4.4857,5.1732,3.7152
2021-02-19,4.1377,4.4892,5.1755,3.6997
2021-02-22,4.1288,4.4963,5.2037,3.7135
2021-02-23,4.1258,4.5093,5.2294,3.7117
2021-02-24,4.0959,4.5176,5.2607,3.7145
2021-02-25,4.077,4.5143,5.2367,3.6943
2021-02-26,4.1205,4.5175,5.1946,3.7247
2021-03-01,4.1211,4.5231,5.2396,3.7572
2021-03-02,4.112,4.5345,5.2367,3.7765
2021-03-03,4.0981,4.5393,5.245,3.7509
2021-03-04,4.1003,4.554,5.2717,3.7851
2021-03-05,4.1313,4.5793,5.3056,3.8393
2021-03-08,4.1416,4.5903,5.3478,3.8665
2021-03-09,4.1266,4.5844,5.3506,3.8507
2021-03-10,4.1334,4.5718,5.3434,3.842
2021-03-11,4.1387,4.5805,5.3411,3.8287
2021-03-12,4.1373,4.5909,5.3591,3.8521
2021-03-15,4.1355,4.5836,5.3553,3.8429
2021-03-16,4.1521,4.5949,5.3262,3.8519
2021-03-17,4.1754,4.6065,5.3758,3.8676
2021-03-18,4.1837,4.6224,5.4038,3.8705
2021-03-19,4.182,4.6226,5.4116,3.8865
2021-03-22,4.1828,4.6138,5.3711,3.8768
2021-03-23,4.1704,4.6073,5.3375,3.8746
2021-03-24,4.1825,4.6273,5.3684,3.9098
2021-03-25,4.1943,4.6358,5.378,3.9253
2021-03-26,4.1814,4.6353,5.4211,3.9307
2021-03-29,4.2164,4.656,5.4645,3.957
2021-03-30,4.204,4.6519,5.4549,3.9604
2021-03-31,4.2119,4.6603,5.4679,3.9676
2021-04-01,4.1644,4.6239,5.4316,3.9428
2021-04-02,4.1428,4.5933,5.3937,3.8986
2021-04-06,4.1553,4.6041,5.3994,3.8973
2021-04-07,4.1547,4.5897,5.3406,3.8611
2021-04-08,4.1353,4.5581,5.2658,3.8365
2021-04-09,4.1265,4.5414,5.2393,3.8208
2021-04-12,4.1222,4.533,5.2411,3.8144
2021-04-13,4.1473,4.5627,5.2727,3.8342
2021-04-14,4.1413,4.5552,5.2513,3.8065
2021-04-15,4.1198,4.5546,5.2376,3.8014
2021-04-16,4.1279,4.5481,5.2235,3.7978
2021-04-19,4.1348,4.5474,5.2474,3.7816
2021-04-20,4.1257,4.5541,5.2755,3.7737
2021-04-21,4.1325,4.5567,5.2862,3.795
2021-04-22,4.1354,4.5562,5.2655,3.7885
2021-04-23,4.1354,4.5649,5.2521,3.7855
2021-04-26,4.1189,4.5565,5.2359,3.7657
2021-04-27,4.1258,4.5613,5.2426,3.7826
2021-04-28,4.1415,4.5811,5.2662,3.7939
2021-04-29,4.1509,4.5782,5.2681,3.7786
2021-04-30,4.1502,4.5654,5.2491,3.7746
2021-05-04,4.145,4.5539,5.2622,3.794
2021-05-05,4.1655,4.5752,5.2984,3.8136
2021-05-06,4.1809,4.5829,5.2908,3.8066
2021-05-07,4.1723,4.5764,5.272,3.7861
2021-05-10,4.1651,4.5631,5.2823,3.7493
2021-05-11,4.1592,4.5628,5.305,3.7514
2021-05-12,4.1413,4.5453,5.2969,3.7456
2021-05-13,4.1472,4.5447,5.2861,3.7675
2021-05-14,4.1413,4.5316,5.2571,3.7374
2021-05-17,4.1347,4.5298,5.2602,3.7288
2021-05-18,4.1301,4.5272,5.2657,3.705
2021-05-19,4.1193,4.5306,5.2596,3.7087
2021-05-20,4.1113,4.5189,5.232,3.7077
2021-05-21,4.0999,4.4958,5.2249,3.6778
2021-05-24,4.0935,4.4877,5.2022,3.6795
2021-05-25,4.0902,4.4806,5.185,3.6549
2021-05-26,4.0993,4.4914,5.1945,3.6691
2021-05-27,4.1087,4.498,5.2124,3.6929
2021-05-28,4.0941,4.4845,5.22,3.6766
2021-05-31,4.0815,4.4805,5.2044,3.6724
2021-06-01,4.0709,4.4749,5.1919,3.659
2021-06-02,4.0707,4.4654,5.1821,3.6659
2021-06-04,4.0838,4.4734,5.2174,3.6931
2021-06-07,4.0756,4.4581,5.1838,3.6656
2021-06-08,4.0901,4.4674,5.1889,3.669
2021-06-09,4.0775,4.4541,5.1837,3.6545
2021-06-10,4.1084,4.48,5.1876,3.6821
2021-06-11,4.1043,4.4723,5.204,3.6759
2021-06-14,4.136,4.5027,5.2369,3.7185
2021-06-15,4.1601,4.5306,5.2617,3.7349
2021-06-16,4.1567,4.5285,5.2657,3.7336
2021-06-17,4.1505,4.5309,5.2999,3.7931
2021-06-18,4.158,4.5503,5.3015,3.8198
2021-06-21,4.1486,4.5442,5.2883,3.8214
2021-06-22,4.1451,4.5366,5.2883,3.8132
2021-06-23,4.1231,4.52,5.2915,3.7878
2021-06-24,4.1296,4.5302,5.3072,3.7986
2021-06-25,4.1175,4.5085,5.2516,3.7749
2021-06-28,4.1139,4.5092,5.2585,3.7762
2021-06-29,4.1161,4.5123,5.2459,3.7914
2021-06-30,4.1212,4.5208,5.2616,3.8035
2021-07-01,4.1167,4.5187,5.2574,3.8149
2021-07-02,4.1317,4.5257,5.2631,3.8263
2021-07-05,4.1207,4.5083,5.2606,3.7979
2021-07-06,4.1172,4.5036,5.2683,3.8021
2021-07-07,4.1402,4.5197,5.2671,3.8225
2021-07-08,4.1858,4.5414,5.2955,3.8408
2021-07-09,4.1965,4.5467,5.2942,3.8427
2021-07-12,4.1965,4.5559,5.3192,3.8378
2021-07-13,4.2087,4.5662,5.3412,3.8533
2021-07-14,4.2384,4.5904,5.3941,3.8955
2021-07-15,4.2349,4.5777,5.349,3.8629
2021-07-16,4.2219,4.5865,5.3788,3.8808
2021-07-19,4.2297,4.5877,5.3432,3.8968
2021-07-20,4.2477,4.5983,5.3307,3.9012
2021-07-21,4.2379,4.5983,5.3203,3.9035
2021-07-22,4.2279,4.5773,5.3286,3.8801
2021-07-23,4.2208,4.5747,5.3349,3.8851
2021-07-26,4.2381,4.5858,5.3582,3.8915
2021-07-27,4.254,4.5954,5.3766,3.9017
2021-07-28,4.2533,4.5955,5.3979,3.8849
2021-07-29,4.2526,4.5866,5.3909,3.8617
2021-07-30,4.2444,4.5731,5.3681,3.841
2021-08-02,4.2383,4.5611,5.3424,3.8377
2021-08-03,4.2366,4.5533,5.3305,3.8315
2021-08-04,4.2361,4.5468,5.3448,3.8366
2021-08-05,4.2454,4.5555,5.3553,3.8485
2021-08-06,4.2422,4.5495,5.3612,3.8519
2021-08-09,4.2421,4.5709,5.3883,3.8885
2021-08-10,4.2272,4.5681,5.3977,3.8937
2021-08-11,4.2385,4.5854,5.406,3.9148
2021-08-12,4.2404,4.59,5.4166,3.9074
2021-08-13,4.2204,4.5718,5.3726,3.8934
2021-08-16,4.2425,4.5651,5.3682,3.873
2021-08-17,4.2602,4.5691,5.3571,3.8797
2021-08-18,4.2553,4.5547,5.3465,3.8861
2021-08-19,4.2818,4.5843,5.3649,3.9226
2021-08-20,4.2816,4.588,5.3536,3.9301
2021-08-23,4.2781,4.5876,5.3394,3.9107
2021-08-24,4.2811,4.5848,5.3589,3.9086
2021-08-25,4.2573,4.5679,5.337,3.8869
2021-08-26,4.2422,4.5758,5.3446,3.8912
2021-08-27,4.2442,4.5803,5.3405,3.8978
2021-08-30,4.2289,4.5691,5.3296,3.8724
2021-08-31,4.1984,4.5374,5.2859,3.8386
2021-09-01,4.1688,4.5184,5.261,3.8238
2021-09-02,4.1554,4.5067,5.2452,3.8044
2021-09-03,4.1568,4.5124,5.2577,3.7998
2021-09-06,4.1546,4.5134,5.2659,3.8041
2021-09-07,4.1613,4.5181,5.257,3.8041
2021-09-08,4.1542,4.5175,5.2596,3.8213
2021-09-09,4.1663,4.5315,5.2889,3.8292
2021-09-10,4.1956,4.5499,5.3296,3.8402
2021-09-13,4.1782,4.5386,5.3189,3.8495
2021-09-14,4.1807,4.5559,5.3442,3.8542
2021-09-15,4.192,4.5502,5.3228,3.8475
2021-09-16,4.2054,4.5736,5.3697,3.8847
2021-09-17,4.1929,4.5789,5.3633,3.8882
2021-09-20,4.2172,4.5999,5.3712,3.9282
2021-09-21,4.2489,4.6154,5.3827,3.9337
2021-09-22,4.2789,4.6308,5.3828,3.946
2021-09-23,4.2494,4.6012,5.3605,3.9256
2021-09-24,4.2494,4.6085,5.3866,3.9268
2021-09-27,4.2307,4.5912,5.3815,3.9276
2021-09-28,4.2622,4.6192,5.4061,3.9546
2021-09-29,4.2694,4.6287,5.3582,3.9684
2021-09-30,4.2725,4.6329,5.3653,3.9925
2021-10-01,4.2579,4.5941,5.3463,3.9678
2021-10-04,4.2371,4.5716,5.3382,3.9368
2021-10-05,4.2836,4.6034,5.4056,3.9688
2021-10-06,4.3002,4.6203,5.42,3.9992
2021-10-07,4.2428,4.5472,5.3446,3.9334
2021-10-08,4.2756,4.5956,5.4095,3.9775
2021-10-11,4.302,4.612,5.44,3.9862
2021-10-12,4.2745,4.5859,5.3936,3.9664
2021-10-13,4.2684,4.5806,5.401,3.9638
2021-10-14,4.2814,4.577,5.4022,3.9403
2021-10-15,4.2691,4.5733,5.4083,3.9413
2021-10-18,4.2611,4.5715,5.4158,3.9471
2021-10-19,4.2644,4.5717,5.4084,3.9212
2021-10-20,4.2637,4.5841,5.4327,3.9428
2021-10-21,4.2899,4.593,5.4461,3.9449
2021-10-22,4.3157,4.6072,5.4652,3.9576
2021-10-25,4.3054,4.6018,5.4395,3.9502
2021-10-26,4.313,4.6134,5.4784,3.974
2021-10-27,4.3362,4.6165,5.464,3.9815
2021-10-28,4.3473,4.6284,5.491,3.9938
2021-10-29,4.3496,4.6208,5.4619,3.9664
2021-11-02,4.3615,4.6129,5.425,3.9772
2021-11-03,4.3554,4.6,5.407,3.9681
2021-11-04,4.3616,4.5987,5.4249,3.9807
2021-11-05,4.362,4.6065,5.3604,3.9911
2021-11-08,4.3445,4.595,5.3617,3.9747
2021-11-09,4.3401,4.5942,5.3885,3.9622
2021-11-10,4.3555,4.6007,5.3784,3.9737
2021-11-12,4.3984,4.6412,5.4328,4.0559
2021-11-15,4.4008,4.6365,5.433,4.0497
2021-11-16,4.4285,4.6652,5.5291,4.1061
2021-11-17,4.4232,4.6614,5.5345,4.1204
2021-11-18,4.4346,4.6592,5.548,4.1114
2021-11-19,4.4782,4.6844,5.569,4.1457
2021-11-22,4.5089,4.721,5.6202,4.1855
2021-11-23,4.4948,4.7171,5.6043,4.1893
2021-11-24,4.4639,4.6811,5.5781,4.1764
2021-11-25,4.456,4.6688,5.5469,4.16
2021-11-26,4.5071,4.7038,5.5597,4.1754
2021-11-29,4.5013,4.6982,5.5531,4.1627
2021-11-30,4.4888,4.6834,5.507,4.1214
2021-12-01,4.4652,4.6494,5.4651,4.1051
2021-12-02,4.4131,4.6002,5.4114,4.0625
2021-12-03,4.4165,4.5934,5.4021,4.0653
2021-12-06,4.4029,4.5889,5.3854,4.0619
2021-12-07,4.4169,4.5991,5.4098,4.0788
2021-12-08,4.4049,4.5941,5.3909,4.071
2021-12-09,4.4305,4.6226,5.3927,4.0837
2021-12-10,4.4259,4.6129,5.3977,4.0887
2021-12-13,4.4335,4.6204,5.431,4.1003
2021-12-14,4.4631,4.6436,5.433,4.1088
2021-12-15,4.4362,4.6214,5.4363,4.0999
2021-12-16,4.4306,4.6315,5.4408,4.0938
2021-12-17,4.4531,4.6334,5.4443,4.0882
2021-12-20,4.4565,4.6381,5.4304,4.1182
2021-12-21,4.4462,4.6238,5.4229,4.0937
2021-12-22,4.4335,4.6244,5.445,4.0984
2021-12-23,4.4497,4.6359,5.4889,4.095
2021-12-24,4.4458,4.6252,5.4691,4.0785
2021-12-27,4.4463,4.6239,5.4805,4.0889
2021-12-28,4.4328,4.6028,5.4623,4.062
2021-12-29,4.4362,4.5997,5.4693,4.0779
2021-12-30,4.4262,4.5915,5.468,4.0631
2021-12-31,4.4484,4.5994,5.4846,4.06
2022-01-03,4.4326,4.5889,5.4643,4.0424
2022-01-04,4.409,4.5737,5.4677,4.0468
2022-01-05,4.4106,4.5672,5.4658,4.0396
2022-01-07,4.372,4.5576,5.4595,4.0279
2022-01-10,4.35,4.5377,5.4406,4.0064
2022-01-11,4.33,4.5454,5.458,4.0106
2022-01-12,4.3192,4.5332,5.4345,3.9879
2022-01-13,4.3244,4.527,5.4209,3.9463
2022-01-14,4.3466,4.5372,5.4387,3.9597
2022-01-17,4.331,4.5201,5.4123,3.9567
2022-01-18,4.3436,4.5275,5.4144,3.9734
2022-01-19,4.3594,4.5279,5.4357,3.993
2022-01-20,4.3511,4.5201,5.4279,3.9833
2022-01-21,4.3786,4.5303,5.421,3.9953
2022-01-24,4.3932,4.5358,5.4169,4.0049
2022-01-25,4.4161,4.5821,5.4731,4.0593
2022-01-26,4.4211,4.592,5.4958,4.0684
2022-01-27,4.4029,4.5713,5.4818,4.083
2022-01-28,4.4086,4.5697,5.4934,4.1048
2022-01-31,4.4156,4.5982,5.532,4.1147
2022-02-01,4.4087,4.582,5.492,4.0689
2022-02-02,4.379,4.55,5.4556,4.0283
2022-02-03,4.3656,4.5439,5.4598,4.0267
2022-02-04,4.3046,4.5459,5.381,3.9657
2022-02-07,4.3112,4.555,5.3893,3.9872
2022-02-08,4.2973,4.5274,5.3792,3.9693
2022-02-09,4.2798,4.5167,5.3633,3.953
2022-02-10,4.2465,4.4879,5.3225,3.9218
2022-02-11,4.2754,4.5163,5.3772,3.9665
2022-02-14,4.375,4.5743,5.4645,4.0439
2022-02-15,4.2954,4.5091,5.3856,3.974
2022-02-16,4.2706,4.4916,5.3542,3.9478
2022-02-17,4.307,4.5088,5.3988,3.9687
2022-02-18,4.3233,4.5256,5.4222,3.9798
2022-02-21,4.3328,4.5193,5.4227,3.9769
2022-02-22,4.3676,4.5416,5.4482,4.012
2022-02-23,4.3401,4.5352,5.4333,3.9937
2022-02-24,4.4808,4.6284,5.546,4.1281
2022-02-25,4.5001,4.6608,5.5751,4.1683
2022-02-28,4.5483,4.6909,5.6131,4.1965
2022-03-01,4.6037,4.7241,5.6593,4.2193
2022-03-02,4.7212,4.7989,5.7631,4.3302
2022-03-03,4.7028,4.7931,5.7881,4.3257
2022-03-04,4.7787,4.8363,5.8413,4.391
2022-03-07,4.9452,4.9647,6.0211,4.5722
2022-03-08,4.8579,4.9121,5.9196,4.5115
2022-03-09,4.758,4.8429,5.8051,4.4147
